QueryResult

# Config entry for catalogue:
serv_type: local
symbol: {PA A_I B_I AREA} {ellipse white {double($B_I)/double($A_I)} {($PA)} {} {}} {{sqrt(7.0*$AREA*double($B_I)/(22.0*double($A_I)))} {}}
# End config entry

# CURSA extensions for info and readability:
#column-units: none 	DEGREES{IHMS.3}	DEGREES{+IDMS.2}	mas/yr          	mas/yr          	mas/yr          	mas/yr          	magnitude       	magnitude       	magnitude       	magnitude       	pixels          	0.01 micron     	0.01 micron     	degrees         	                	sigma           	                	                
#column-types: INTEGER	DOUBLE	DOUBLE	REAL	REAL	REAL	REAL	REAL	REAL	REAL	REAL	INTEGER	INTEGER	INTEGER	INTEGER	INTEGER	REAL	INTEGER	INTEGER
#column-formats: I6	F11.7	F11.7	E12.4	E12.4	E12.4	E12.4	F7.3 	F7.3 	F7.3 	F7.3 	I9   	I7   	I7   	I3   	I2   	F8.3 	I6   	I10  

id	ra	dec	MU_ACOSD	MU_D	SIGMU_A	SIGMU_D	B_J	R_1	R_2	I	AREA	A_I	B_I	PA	CLASS	N_0_1	BLEND	QUALITY
--	--	---	--------	----	-------	-------	---	---	---	-	----	---	---	--	-----	-----	-----	-------
000001	 11.3081414	 61.3246617	 -0.9317E+02	  0.2056E+02	  0.3491E+01	  0.3290E+01	   17.503	   99.999	   16.560	   16.200	      140	   5679	   4942	 93	 2	   1.650	     0	         0
000002	 11.2640580	 61.3250468	 -0.5857E+01	  0.2665E+01	  0.6734E+01	  0.6666E+01	   21.125	   20.221	   19.379	   19.056	       30	   2831	   2525	  7	 2	  -0.924	     0	         0
000003	 11.2310414	 61.3251138	  0.1710E+01	  0.2386E+01	  0.6621E+01	  0.6520E+01	   21.351	   20.194	   19.960	   18.910	       37	   3747	   2466	 13	 2	   1.538	     0	         0
000004	 11.1991127	 61.3251734	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.734	       13	   3653	   1071	 32	 1	   1.852	     0	         0
000005	 11.1400173	 61.3251763	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.535	       10	   2791	   1209	 77	 2	   1.257	     0	         0
000006	 11.1687471	 61.3252290	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.575	       14	   3423	   1661	 94	 1	   4.427	     0	         0
000007	 11.2800292	 61.3253585	  0.1293E+02	 -0.2490E+02	  0.5401E+01	  0.5391E+01	   19.870	   18.134	   18.712	   17.217	      107	   6907	   4117	 67	 1	   4.163	     0	         0
000008	 11.2949147	 61.3256123	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.838	       13	   3866	   1526	132	 1	   2.958	     0	         0
000009	 11.0252807	 61.3256392	  0.7809E+01	 -0.2189E+03	  0.1089E+03	  0.1115E+03	   99.999	   99.999	   20.722	   20.238	       11	   3406	   1218	 84	 1	   0.957	     0	         0
000010	 10.9756242	 61.3257223	  0.6032E+02	  0.2110E+02	  0.4776E+02	  0.4758E+02	   21.806	   99.999	   20.303	   19.449	       27	   3254	   2362	121	 2	   0.465	     0	         0
000011	 11.2551686	 61.3258913	  0.1640E+02	 -0.1288E+01	  0.7001E+01	  0.6916E+01	   21.672	   20.478	   20.248	   19.543	       28	   3296	   2758	175	 2	   2.014	     0	         0
000012	 11.0423303	 61.3260936	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.100	       13	   2839	   1346	 88	 2	  -2.476	     0	         0
000013	 10.9813830	 61.3261457	 -0.4965E+01	 -0.3354E+01	  0.5085E+01	  0.4994E+01	   20.557	   19.235	   19.279	   18.314	       53	   3832	   3245	177	 2	   0.981	     0	         0
000014	 10.9670946	 61.3261743	  0.2528E+01	  0.2911E+01	  0.6620E+01	  0.6582E+01	   21.540	   20.049	   20.139	   19.589	       23	   2874	   1933	 76	 2	  -0.657	     0	         0
000015	 11.3024474	 61.3262442	 -0.6166E+01	 -0.1603E+01	  0.8014E+01	  0.8050E+01	   99.999	   20.619	   20.736	   19.434	       23	   4795	   2277	112	 1	   5.380	     0	         0
000016	 11.0185794	 61.3263038	 -0.1501E+02	 -0.1485E+02	  0.7086E+01	  0.7038E+01	   21.989	   20.493	   20.724	   19.634	       25	   2768	   2634	121	 2	   0.260	     0	         0
000017	 11.2450278	 61.3266144	 -0.1399E+03	  0.9430E+02	  0.1015E+03	  0.1045E+03	   99.999	   99.999	   21.027	   20.675	        8	   2165	   1321	147	 2	   0.225	     0	         0
000018	 10.8847336	 61.3267061	  0.1133E+02	 -0.3241E+00	  0.7082E+01	  0.7057E+01	   21.525	   20.441	   19.936	   19.928	       19	   2821	   2080	127	 2	   0.087	     0	         0
000019	 11.2073570	 61.3267880	  0.1324E+03	 -0.4611E+01	  0.9200E+02	  0.9421E+02	   99.999	   99.999	   20.412	   20.552	        9	   1863	   1380	 71	 2	  -0.610	     0	         0
000020	 10.9432974	 61.3268401	  0.1571E+02	  0.1364E+01	  0.3820E+01	  0.3059E+01	   13.550	   12.428	   12.220	   11.791	      403	   9479	   8868	 98	 2	   0.807	     0	         0
000021	 11.1050984	 61.3274188	 -0.1033E+02	  0.2017E+02	  0.6738E+01	  0.6680E+01	   22.259	   20.282	   19.932	   18.794	       43	   3449	   3141	 43	 2	   1.585	     0	         0
000022	 10.9896176	 61.3276360	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   19.660	       16	   4473	   1394	100	 1	   3.788	     0	         0
000023	 11.1419510	 61.3276365	  0.3694E+02	 -0.1293E+03	  0.9659E+02	  0.9739E+02	   99.999	   99.999	   21.017	   19.669	       13	   2617	   1805	 54	 1	   2.590	     0	         0
000024	 11.0069604	 61.3279809	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.744	        8	   2450	   1215	 73	 2	   0.604	     0	         0
000025	 10.9866113	 61.3282404	  0.1049E+02	  0.4860E+00	  0.6964E+01	  0.6917E+01	   21.698	   20.441	   20.298	   19.537	       24	   3062	   1996	 24	 2	  -0.564	     0	         0
000026	 10.9348944	 61.3284662	  0.4722E+02	 -0.9557E+02	  0.5315E+02	  0.5303E+02	   22.211	   99.999	   21.490	   20.020	       18	   2495	   2126	155	 2	   0.436	     0	         0
000027	 11.3035377	 61.3285475	 -0.4032E+01	 -0.2817E+01	  0.4447E+01	  0.4344E+01	   20.120	   18.766	   18.692	   17.703	       79	   4542	   4122	 97	 1	   2.707	     0	         0
000028	 11.1906518	 61.3286134	  0.1473E+01	  0.3595E+01	  0.6946E+01	  0.6893E+01	   21.850	   20.510	   20.111	   19.108	       33	   3408	   2506	177	 2	   1.406	     0	         0
000029	 11.0571945	 61.3286363	 -0.1101E+03	 -0.1011E+02	  0.9643E+02	  0.9905E+02	   99.999	   99.999	   20.843	   20.270	       15	   2928	   1468	 96	 2	   1.766	     0	         0
000030	 11.2638432	 61.3287716	  0.1010E+02	 -0.1077E+02	  0.6526E+01	  0.6427E+01	   21.295	   20.061	   19.754	   19.027	       35	   3170	   2765	 12	 2	   0.701	     0	         0
000031	 11.2735222	 61.3287991	 -0.5251E+02	 -0.4312E+02	  0.8789E+02	  0.8830E+02	   99.999	   99.999	   20.602	   19.114	       28	   3112	   2599	 53	 1	   2.873	     0	         0
000032	 10.8032332	 61.3288581	 -0.2880E+02	 -0.2394E+03	  0.8896E+02	  0.9002E+02	   99.999	   99.999	   21.221	   20.436	       12	   2759	   1358	  2	 2	  -0.123	     0	         0
000033	 11.2988223	 61.3289761	  0.9999E+09	  0.9999E+09	  0.9999E+09	  0.9999E+09	   99.999	   99.999	   99.999	   20.505	       10	   2573	   1533	 40	 2	   0.528	     0	         0
