,DEGREES{IHMS.3},DEGREES{+IDMS.2},mas/yr          ,mas/yr          ,mas/yr          ,mas/yr          ,magnitude       ,magnitude       ,magnitude       ,magnitude       ,pixels          ,0.01 micron     ,0.01 micron     ,degrees         ,                ,sigma           ,                ,                
,DOUBLE,DOUBLE,REAL,REAL,REAL,REAL,REAL,REAL,REAL,REAL,INTEGER,INTEGER,INTEGER,INTEGER,INTEGER,REAL,INTEGER,INTEGER
,F11.7,F11.7,E12.4,E12.4,E12.4,E12.4,F7.3 ,F7.3 ,F7.3 ,F7.3 ,I9   ,I7   ,I7   ,I3   ,I2   ,F8.3 ,I6   ,I10  
id,ra,dec,MU_ACOSD,MU_D,SIGMU_A,SIGMU_D,B_J,R_1,R_2,I,AREA,A_I,B_I,PA,CLASS,N_0_1,BLEND,QUALITY
1,11.3081414,61.3246617,-93.17,20.56,3.491,3.29,17.503,99.999,16.56,16.2,140,5679,4942,93,2,1.65,0,0
2,11.264058,61.3250468,-5.857,2.665,6.734,6.666,21.125,20.221,19.379,19.056,30,2831,2525,7,2,-0.924,0,0
3,11.2310414,61.3251138,1.71,2.386,6.621,6.52,21.351,20.194,19.96,18.91,37,3747,2466,13,2,1.538,0,0
4,11.1991127,61.3251734,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.734,13,3653,1071,32,1,1.852,0,0
5,11.1400173,61.3251763,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.535,10,2791,1209,77,2,1.257,0,0
6,11.1687471,61.325229,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.575,14,3423,1661,94,1,4.427,0,0
7,11.2800292,61.3253585,12.93,-24.9,5.401,5.391,19.87,18.134,18.712,17.217,107,6907,4117,67,1,4.163,0,0
8,11.2949147,61.3256123,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.838,13,3866,1526,132,1,2.958,0,0
9,11.0252807,61.3256392,7.809,-218.9,108.9,111.5,99.999,99.999,20.722,20.238,11,3406,1218,84,1,0.957,0,0
10,10.9756242,61.3257223,60.32,21.1,47.76,47.58,21.806,99.999,20.303,19.449,27,3254,2362,121,2,0.465,0,0
11,11.2551686,61.3258913,16.4,-1.288,7.001,6.916,21.672,20.478,20.248,19.543,28,3296,2758,175,2,2.014,0,0
12,11.0423303,61.3260936,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.1,13,2839,1346,88,2,-2.476,0,0
13,10.981383,61.3261457,-4.965,-3.354,5.085,4.994,20.557,19.235,19.279,18.314,53,3832,3245,177,2,0.981,0,0
14,10.9670946,61.3261743,2.528,2.911,6.62,6.582,21.54,20.049,20.139,19.589,23,2874,1933,76,2,-0.657,0,0
15,11.3024474,61.3262442,-6.166,-1.603,8.014,8.05,99.999,20.619,20.736,19.434,23,4795,2277,112,1,5.38,0,0
16,11.0185794,61.3263038,-15.01,-14.85,7.086,7.038,21.989,20.493,20.724,19.634,25,2768,2634,121,2,0.26,0,0
17,11.2450278,61.3266144,-139.9,94.3,101.5,104.5,99.999,99.999,21.027,20.675,8,2165,1321,147,2,0.225,0,0
18,10.8847336,61.3267061,11.33,-0.3241,7.082,7.057,21.525,20.441,19.936,19.928,19,2821,2080,127,2,0.087,0,0
19,11.207357,61.326788,132.4,-4.611,92,94.21,99.999,99.999,20.412,20.552,9,1863,1380,71,2,-0.61,0,0
20,10.9432974,61.3268401,15.71,1.364,3.82,3.059,13.55,12.428,12.22,11.791,403,9479,8868,98,2,0.807,0,0
21,11.1050984,61.3274188,-10.33,20.17,6.738,6.68,22.259,20.282,19.932,18.794,43,3449,3141,43,2,1.585,0,0
22,10.9896176,61.327636,999900000,999900000,999900000,999900000,99.999,99.999,99.999,19.66,16,4473,1394,100,1,3.788,0,0
23,11.141951,61.3276365,36.94,-129.3,96.59,97.39,99.999,99.999,21.017,19.669,13,2617,1805,54,1,2.59,0,0
24,11.0069604,61.3279809,999900000,999900000,999900000,999900000,99.999,99.999,99.999,20.744,8,2450,1215,73,2,0.604,0,0
